job_number,prop_stories, occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,units_net_complete,units_net_incomplete,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,Latitude,Longitude,Reason
102573788,,,,,,,,,,,,,,,,,,,,,,1000780001,1001192,40.709474,-74.006709,Geocoding (add Lat/Long)
102593276,,,,,,,,,,,,,,,,,,,,,,1008460014,1016118,40.7376,-73.990968,Geocoding (add Lat/Long)
102624910,,,,,,,,,,,,,,,,,,,,,,1010600104,1082411,40.764693,-73.991224,Geocoding (add Lat/Long)
102631449,,,,,,,,,,,,,,,,,,,,,,1001060017,1087430,40.70888,-74.00202,Geocoding (add Lat/Long)
102639628,,,,,,,,,,,,,,,,,,,,,,1001460023,1086485,40.71588,-74.00744,Geocoding (add Lat/Long)
102653978,,,,,,,,,,,,,,,,,,,,,,1005080001,1077759,40.723352,-73.994505,Geocoding (add Lat/Long)
121191325,,,Residential: Multi-Family,Residential,,105,26,79,,,,,,,,,,,,,TRUE,,,,,mixed-use hotel-res
102657171,,,,,,,,,,,,,,,,,,,,,,1008280001,1015632,40.74489,-73.991342,Geocoding (add Lat/Long)
102665947,,,,,,,,,,,,,,,,,,,,,,1015647502,1073786,40.775565,-73.949915,Geocoding (add Lat/Long)
102704833,,,,,,,,,,,,,,,,,,,,,,1012330011,1081052,40.788142,-73.977202,Geocoding (add Lat/Long)
102738361,,,,,,,,,,,,,,,,,,,,,,1005580030,1009020,40.732508,-73.988161,Geocoding (add Lat/Long)
102811076,,,,,,,,,,,,,,,,,,,,,,1020670027,1061618,40.828801,-73.941892,Geocoding (add Lat/Long)
102825267,,,,,,,,,,,,,,,,,,,,,,1010340007,1075686,40.758827,-73.990904,Geocoding (add Lat/Long)
104844581,,,Residential: Multi-Family,Residential,,1483,814,669,814,0,,,808,6,,,,0,,,TRUE,,,,,mixed-use hotel-res
102837897,,,,,,,,,,,,,,,,,,,,,,1011990025,1031367,40.785127,-73.97048,Geocoding (add Lat/Long)
102846388,,,,,,,,,,,,,,,,,,,,,,1002310005,1003009,40.720069,-74.002247,Geocoding (add Lat/Long)
102862341,,,,,,,,,,,,,,,,,,,,,,1012980041,1087190,40.752391,-73.974298,Geocoding (add Lat/Long)
102885950,,,,,,,,,,,,,,,,,,,,,,1003060019,1003960,40.71756,-73.992709,Geocoding (add Lat/Long)
102904840,,,,,,,,,,,,,,,,,,,,,,1012080011,1031662,40.791329,-73.967346,Geocoding (add Lat/Long)
102908169,,,,,,,,,,,,,,,,,,,,,,1010330109,1024938,40.758509,-73.99129,Geocoding (add Lat/Long)
102908178,,,,,,,,,,,,,,,,,,,,,,1010330009,1085966,40.757795,-73.991106,Geocoding (add Lat/Long)
102917051,,,,,,,,,,,,,,,,,,,,,,1002300020,1002991,40.72112,-74.002323,Geocoding (add Lat/Long)
102917505,,,,,,,,,,,,,,,,,,,,,,1006350036,1011942,40.736543,-74.007257,Geocoding (add Lat/Long)
102921670,,,,,,,,,,,,,,,,,,,,,,1011270040,1028716,40.778283,-73.975404,Geocoding (add Lat/Long)
102921849,,,,,,,,,,,,,,,,,,,,,,1008687503,1085975,40.7509,-73.982131,Geocoding (add Lat/Long)
102922955,,,,,,,,,,,,,,,,,,,,,,1004710015,1087877,40.720179,-73.997201,Geocoding (add Lat/Long)
102925765,,,,,,,,,,,,,,,,,,,,,,1008830056,1018188,40.742067,-73.981671,Geocoding (add Lat/Long)
102927264,,,,,,,,,,,,,,,,,,,,,,1009140036,1088117,40.74528,-73.977094,Geocoding (add Lat/Long)
102963223,,,,,,,,,,,,,,,,,,,,,,1019690019,1087931,40.814748,-73.953364,Geocoding (add Lat/Long)
102965070,,,,,,,,,,,,,,,,,,,,,,1020510122,1061101,40.823033,-73.943863,Geocoding (add Lat/Long)
102978896,,,,,,,,,,,,,,,,,,,,,,1004200068,1075907,40.720069,-73.99127,Geocoding (add Lat/Long)
103017110,,,,,,,,,,,,,,,,,,,,,,1008147501,1015272,40.752703,-73.985671,Geocoding (add Lat/Long)
103022346,,,,,,,,,,,,,,,,,,,,,,1004080005,1005269,40.717667,-73.990206,Geocoding (add Lat/Long)
103023568,,,,,,,,,,,,,,,,,,,,,,1011820029,1030931,40.778787,-73.985539,Geocoding (add Lat/Long)
103045704,,,,,,,,,,,,,,,,,,,,,,1013450049,1087513,40.7564,-73.96694,Geocoding (add Lat/Long)
103059690,,,,,,,,,,,,,,,,,,,,,,1015050040,1047125,40.785253,-73.954103,Geocoding (add Lat/Long)
103061730,,,,,,,,,,,,,,,,,,,,,,1020610047,1061411,40.825696,-73.945263,Geocoding (add Lat/Long)
103087035,,,,,,,,,,,,,,,,,,,,,,1017270055,1053751,40.810087,-73.941743,Geocoding (add Lat/Long)
103088686,,,,,,,,,,,,,,,,,,,,,,1018280060,1055126,40.802082,-73.956407,Geocoding (add Lat/Long)
103095222,,,,,,,,,,,,,,,,,,,,,,1019020050,1057448,40.803792,-73.950424,Geocoding (add Lat/Long)
